Column,Type,Non_Null,Null_Count,Unique,Mean,Std,Min,Max
HID,int64,19517,0,19515,545507.9880104525,7662.513618228587,456688,744017
STOP_DATE,datetime64[us],19517,0,19517,,,,
STEEL_GRADE,object,19517,0,137,,,,
TAPPED_WGT,float64,19517,0,167,161.58994722549573,2.994521263258607,153.3,169.9
TOTAL_CHARGE,float64,19517,0,1712,186.16846748988058,6.954024875036519,166.39,205.1
DRI_CHARGE,float64,19517,0,632,149.7965107342317,8.750097157487714,100.0,181.7
SCRAP_CHARGE,float64,19517,0,1175,36.371956755648924,5.668191989422714,18.0,82.98
POWER_ON_TIME,float64,19517,0,215,41.526453860736794,2.8416758320972213,21.4,66.5
FINAL_TEMP,float64,19517,0,222,1646.355741148742,24.602668636093853,1451.0,1755.0
LOCAL_SCRAP,float64,19517,0,1056,18.47765384024184,10.990273607675991,0.0,77.0
HOME_RETURN_SCRAP,float64,19517,0,1494,15.608990111185122,10.006163540165327,0.0,82.0
IMPORTED_SCRAP,float64,19517,0,1449,1.9909330327406876,6.765362305288741,0.0,69.0
ELEC_ENERGY,int64,19517,0,264,87124.31213813598,4644.696907340713,74000,100300
OXYGEN,int64,19517,0,2419,5600.135215453195,458.8703479380278,2920,10683
COKE_LUMP,int64,19517,0,949,93.7248552543936,226.086584069566,0,3343
MODULE_CARBON,int64,19517,0,3008,2804.4354152789874,633.571359312996,805,7018
COKE_POWDER,int64,19517,0,1,0.0,0.0,0,0
BURNT_LIME,int64,19517,0,922,1297.5807244965927,837.3496261396529,0,6791
BURNT_DOLAMITE,int64,19517,0,98,5285.679151508941,955.3864330545966,0,23600
DRI_CARBON_PCT,float64,19517,0,452,2.3278274154135365,0.18301351670047106,1.395,2.79
DRI_SIO2_PCT,float64,19517,0,609,1.6394936786364709,0.5063849590271888,0.0,2.496666667
DRI_TFE,float64,19517,0,725,91.25639882041605,0.5875257602079202,89.18428571,92.868
DRI_MET,float64,19517,0,827,94.59859405981965,0.9244596317886759,90.715,97.29833333
DRI_MFE,float64,19517,0,859,86.3403405513214,1.1871280886260565,81.325,89.73333333
DRI_HAS_FULL_ANALYSIS,int64,19517,0,2,0.9382589537326433,0.24069079284465436,0,1
FLAG_CHARGE_BALANCE,bool,19517,0,1,0.0,0.0,False,False
FLAG_YIELD_VIOLATION,bool,19517,0,2,0.0007685607419173028,0.027712982645238082,False,True
FLAG_ELEC_ENERGY_RANGE,bool,19517,0,1,0.0,0.0,False,False
FLAG_FINAL_TEMP_RANGE,bool,19517,0,2,0.0006660859763283291,0.025800705674800337,False,True
FLAG_POWER_ON_TIME_RANGE,bool,19517,0,1,0.0,0.0,False,False
FLAG_TOTAL_CHARGE_RANGE,bool,19517,0,2,0.03479018291745658,0.18325268543896062,False,True
FLAG_ANY_VALIDATION,bool,19517,0,2,0.03617359225290772,0.18672667180284253,False,True
OUTLIER_ELEC_ENERGY,bool,19517,0,1,0.0,0.0,False,False
OUTLIER_TOTAL_CHARGE,bool,19517,0,1,0.0,0.0,False,False
OUTLIER_TAPPED_WGT,bool,19517,0,1,0.0,0.0,False,False
OUTLIER_OXYGEN,bool,19517,0,2,0.010862325152431214,0.10365753993091796,False,True
OUTLIER_POWER_ON_TIME,bool,19517,0,2,0.008300456012706871,0.0907302608163896,False,True
OUTLIER_FINAL_TEMP,bool,19517,0,2,0.026540964287544194,0.16074161056437716,False,True
OUTLIER_ANY,bool,19517,0,2,0.043244351078546905,0.20341189049965616,False,True
STEEL_FAMILY,str,19517,0,3,,,,
ENERGY_PER_TON,float64,19517,0,11653,539.4021445839538,31.282598132034895,439.4299287410926,650.6180871828237
OXYGEN_PER_TON,float64,19517,0,18372,34.66154694445906,2.8378690313451402,18.778135048231512,67.52844500632112
COKE_LUMP_PER_TON,float64,19517,0,3999,0.0005809325698922468,0.0014016966797923424,0.0,0.02126590330788804
