ANALYSIS_DATE,TFE,SIO2,CAO,MGO,MNO,AL2O3,P2O5,V2O5,S,K2O,TIO2,CR2O3,NA2O,CAOSIO,MFE,MET,C,FEO,FE2O3,FE3O4
29-12-2022,90.74625,2.105,1.2675,0.3225,0.11,0.63625,0.03375,0.0625,0,0,0.13125,0.01,0.0525,0.6025,85.20375,93.89,2.50125,1.72625,4.4925,5.8775
30-12-2022,90.82,2.013333333,1.25,0.393333333,0.12,0.573333333,0.031666667,0.056666667,0,0,0.115,0.01,0.051666667,0.623333333,85.63833333,94.29,2.386666667,2.078333333,4.216666667,5.095
31-12-2022,90.37666667,2.051666667,1.285,0.48,0.125,0.555,0.03,0.053333333,0,0,0.113333333,0.01,0.053333333,0.635,83.74166667,92.65833333,2.51,2.171666667,3.946666667,6.59
01-01-2023,90.52166667,1.936666667,1.268333333,0.528333333,0.133333333,0.533333333,0.026666667,0.048333333,0,0,0.106666667,0.01,0.051666667,0.658333333,86.00333333,95.00166667,2.568333333,2.198333333,3.713333333,4.126666667
02-01-2023,91.26,1.954666667,1.242666667,0.500333333,0.07245,0.535166667,0.0483,0.021666667,0.003366667,0.01205,0.073333333,0.005,0.0435,0.236666667,87.13333333,95.47166667,2.583333333,1.626166667,2.753333333,5.691666667
03-01-2023,91.26166667,1.988333333,1.236666667,0.498333333,0.049133333,0.546666667,0.140766667,0.000166667,0.003383333,0.00805,0.051166667,0.001666667,0.03945,0,87.34833333,95.695,2.573333333,1.595,1.776666667,5.906666667
04-01-2023,91.63333333,1.309333333,0.847833333,0.343666667,0.01935,0.349166667,0.03935,0,0.001683333,0.006083333,0.037283333,0.001666667,0.01345,0,88.43666667,96.505,2.625,1.023833333,1.668333333,4.146666667
05-01-2023,91.284,0,0,0,0,0,0,0,0,0,0,0,0,0,86.276,94.51,2.654,0,0,0
06-01-2023,90.778,1.98,1.286,0.614,0.128,0.496,0.022,0.046,0,0,0.096,0.01,0.056,0.652,86.224,94.984,2.512,1.604,4.394,4.864
07-01-2023,90.3425,2.0475,1.2775,0.5525,0.1325,0.5,0.02,0.025,0,0,0.0875,0.01,0.05,0.635,84.9775,94.04,2.425,3.3175,3.4225,3.87
08-01-2023,90.8625,1.935,1.3075,0.575,0.14,0.5075,0.02,0.035,0,0,0.09,0.01,0.05,0.6775,86.7775,95.4975,2.4375,1.9225,3.9375,3.9925
09-01-2023,90.88666667,1.98,1.443333333,0.546666667,0.136666667,0.526666667,0.023333333,0.036666667,0,0,0.093333333,0.013333333,0.053333333,0.726666667,86.08333333,94.71666667,2.446666667,2.153333333,3.996666667,4.586666667
10-01-2023,90.72,2.105,1.318333333,0.413333333,0.133333333,0.563333333,0.025,0.013333333,0,0,0.09,0.01,0.05,0.626666667,85.44833333,94.19333333,2.406666667,2.2,4.175,5.046666667
