RC,HID,STOP_DATE,STEEL_GRADE,TAPPED_WGT,TOTAL_CHARGE,DRI_CHARGE,SCRAP_CHARGE,POWER_ON_TIME,FINAL_TEMP,TOTAL_C_DRI,LOCAL_SCRAP,HOME_RETURN_SCRAP,IMPORTED_SCRAP,PIG_IRON,DRI_BRIQUETTED,FESI,FEMN,SIMN,FECR,NICKEL,FETI,FEB,FENB,FEP,FEMO,CU,FEV,NITROVAN,ELEC_ENERGY,OXYGEN,COKE_LUMP,MODULE_CARBON,COKE_POWDER,BURNT_LIME,BURNT_DOLAMITE,FLUX,C_ANALYSIS, 
268683,533422,01-JAN-2023 00.26.48,2067,162.4,186.5,150.5,36,45.3,1669,,22,14,,,,0,1001,0,0,0,0,0,0,0,0,0,0,0,92700,6788,978,3675,0,1996,7000,0,, 
268687,533423,01-JAN-2023 01.20.28,2067,161.4,189.6,150.6,39,41,1659,,,39,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,88900,6326,567,3652,0,1996,7000,0,, 
268690,533424,01-JAN-2023 02.12.57,1015,159.9,190.5,144.5,46,42.4,1647,,,46,,,,0,800,0,0,0,0,0,0,0,0,0,0,0,88000,6075,432,3552,0,1497,7000,0,, 
268693,533425,01-JAN-2023 03.06.08,1015,159.4,191.2,152.2,39,40.8,1642,,,39,,,,0,799,0,0,0,0,0,0,0,0,0,0,0,87000,6087,253,3411,0,1996,7000,0,, 
268696,533426,01-JAN-2023 03.53.08,1010,159.2,183.4,147.4,36,38.3,1630,,22,14,,,,0,255,0,0,0,0,0,0,0,0,0,0,0,83900,5861,237,3131,0,998,7000,0,, 
268698,533427,01-JAN-2023 04.41.18,5042,162.7,190.49,148.5,41.99,39.6,1642,,25.66,16.33,,,,0,1003,0,0,0,0,0,0,0,0,0,0,0,86600,5718,342,2571,0,1996,7000,0,, 
268702,533428,01-JAN-2023 05.31.20,2015,162.6,182.79,139.8,42.99,39.7,1578,,26.27,16.72,,,,0,800,0,0,0,0,0,0,0,0,0,0,0,85600,5193,612,2373,0,3548,7000,0,, 
268705,533429,01-JAN-2023 06.17.47,2032,157.5,187.9,146.9,41,38,1608,,25.06,15.94,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,82700,5635,491,2323,0,970,6900,0,, 
268708,533430,01-JAN-2023 07.29.50,2032,160.6,177.3,141.3,36,42.6,1621,,22,14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,87800,5409,129,2007,0,0,7000,0,, 
268711,533431,01-JAN-2023 08.35.10,2032,160.3,182.7,146.7,36,45.8,1640,,22,14,,,,0,300,0,0,0,0,0,0,0,0,0,0,0,89600,4921,379,2092,0,0,7100,0,, 
