GRADE CODE,Steel Family 
4300,M-C
7855,M-C
4200,M-C
7010,M-C
6074,M-C
6075,M-C
1070,M-C
9994,M-C
1071,M-C
1072,M-C
1060,M-C
1061,M-C
1064,M-C
1065,M-C
2060,M-C
2061,M-C
2064,M-C
2065,M-C
5050,M-C
5070,M-C
5090,M-C
5092,M-C
6050,M-C
6055,M-C
6070,M-C
6090,M-C
6092,M-C
7054,M-C
7055,M-C
8055,M-C
8056,M-C
8088,M-C
5044,L-C
8060,L-C
8075,L-C
1015,L-C
1030,L-C
1032,L-C
1057,L-C
1058,L-C
1066,L-C
1069,L-C
2015,L-C
2030,L-C
2032,L-C
2051,L-C
2058,L-C
2059,L-C
6056,L-C
6066,L-C
6067,L-C
6096,L-C
6097,L-C
6099,L-C
8061,L-C
8062,L-C
8071,L-C
8073,L-C
8074,L-C
9010,L-C
9020,L-C
9030,L-C
9902,L-C
9904,L-C
9905,L-C
9996,L-C
1020,L-C
1050,L-C
1052,L-C
1054,L-C
1056,L-C
1062,L-C
1063,L-C
1067,L-C
1850,L-C
1852,L-C
2056,L-C
2062,L-C
2063,L-C
2067,L-C
4061,L-C
5040,L-C
5042,L-C
5043,L-C
5071,L-C
5082,L-C
5091,L-C
5093,L-C
5094,L-C
5095,L-C
6040,L-C
6042,L-C
6061,L-C
6071,L-C
6082,L-C
6091,L-C
6093,L-C
6094,L-C
6095,L-C
7060,L-C
7063,L-C
7065,L-C
8063,L-C
8064,L-C
9995,L-C
1017,L-C
6098,L-C
9040,L-C
6062,L-C
1021,L-C
1010,L-C
2010,L-C
4010,L-C
1011,L-C
1012,L-C
1013,L-C
1014,L-C
1016,L-C
1018,L-C
1024,L-C
1810,L-C
1812,L-C
2011,L-C
2014,L-C
2080,L-C
2081,L-C
2085,L-C
2810,L-C
