PRDDAT,DRI %,Yield,Power on time,Energy cons.,Oxygen,Coke lump,B/L cons.,Net TTT,B/D cons.,No. of heats,Metallization,,Carbon%,,Excess Carbon,Carbon injection,,DRI gangue,,,DRI rate,,DRI - T.Fe,DRI-M.Fe,,DRI(SiO2+Al2O3),DRI SiO2,,DRI Al2O3,,DRI (Mgo+CaO),DRI Basicity (CaO+MgO)/(Al2O3+SiO2), DRI Basicity CaO/SiO2 ,HBI%,,SiO2 slag,CaO,Basicity,MgO,T.Fe ,N.G Nm3/T DRI,LKAB,IOC,Samarco,vale,Metinvest,EFS,lump ore ,B.S
01-Jan-25,81.6,86.7,45.3,542,35.5,0.000,11.9,55.7,26.4,8,96.17,,2.57,,1.81,13.9,,,,,128,,92.14,88.61,,2.09,1.67,,0.43,,1.67,0.80, 0.75 ,,,14.81,28.5,1.924375422,12.9,30.8,298,50,,50,,,,,
02-Jan-25,83.0,87.3,40.3,516,34.7,0.0,11.92,50.4,34.21,26,96.01,,2.56,,1.77,10.9,,,,,129,,92.24,88.56,,2.17,1.72,,0.45,,1.71,0.79, 0.73 ,,,14.9,32.3,2.17,11.8,26.3,296,50,,50,,,,,
03-Jan-25,83.3,88.0,39.6,523,34.6,0.0,12.17,48.8,34.84,24,96.40,,2.62,,1.91,11.2,,,,,128,,91.93,88.62,,2.15,1.71,,0.44,,1.80,0.84, 0.77 ,,,14.9,31.36,2.10,11.7,27.3,296,50,,50,,,,,
04-Jan-25,81.9,87.9,40.1,515,34.0,0.000,11.81,49.4,31.32,25,95.95,,2.47,,1.68,11.1,,,,,128,,92.05,88.33,,2.09,1.67,,0.42,,1.75,0.84, 0.75 ,,,13.4,29.4,2.19,13.3,32.6,296,75,,25,,,,,
05-Jan-25,82.4,86.4,40.1,529,35.5,0.0,12.2,50.0,32.09,22,95.09,,2.57,,1.60,11.3,,,,,129,,92.03,87.51,,1.91,1.55,,0.36,,1.78,0.93, 0.77 ,,,14.1,29.5,2.09,11.1,31.2,299,75,,25,,,,,
06-Jan-25,81.8,88.0,39.7,515,35.2,0.0,12.29,51.0,30.82,25,96.36,,2.50,,1.78,11.5,,,,,128,,91.94,88.59,,1.78,1.445,,0.33,,1.79,1.01, 0.85 ,,,13.73,30,2.18,13.22,31.35,298,75,,25,,,,,
07-Jan-25,81.9,87.1,39.7,522,34.4,0.0,12.33,50.6,31.31,26,96.04,,2.61,,1.80,11.7,,,,,128,,92.28,88.68,,1.77,1.44,,0.33,,1.80,1.02, 0.85 ,,,12.86,29,2.26,15.55,32.16,303,75,,25,,,,,
08-Jan-25,82.2,87.4,39.7,523,34.3,0.0,11.97,50.6,30.73,26,96.10,,2.53,,1.74,13.9,,,,,128,,92.3,88.65,,1.72,1.41,,0.32,,1.81,1.05, 0.86 ,,,13.12,28.15,2.15,12.38,36.42,304,75,,25,,,,,
09-Jan-25,81.8,87.4,40.0,526,34.8,0.0,12.11,49.2,30.51,24,96.14,,2.49,,1.73,12.1,,,,,128,,92.32,88.76,,1.817,1.45,,0.365,,1.86,1.02, 0.85 ,,,12.59,28.89666667,2.30,12.61,32.78333333,304,75,,25,,,,,
10-Jan-25,82.4,87.1,39.4,516,35.4,0.0,12.04,49.6,30.64,25,96.19,,2.57,,1.81,12.2,,,,,128,,92.1,88.59,,1.78,1.44,,0.34,,1.77,0.99, 0.84 ,,,11.84666667,29.01333333,2.45,15.27,34.92333333,304,75,,25,,,,,
11-Jan-25,82.4,87.5,39.2,518,35.8,0.000,11.82,48.4,30.25,25,96.14,,2.54,,1.77,12.8,,,,,128,,92.2,88.6,,1.705,1.38,,0.33,,1.79,1.05, 0.85 ,,,13.0,27.6,2.12,14.0,31,304,75,,25,,,,,
12-Jan-25,81.8,89.8,39.8,511,37.1,0.000,12.2,50.0,28.6,7,95.92,,2.61,,1.81,14.3,,,,,128,,92.1,88.3,,1.898333333,1.51,,0.39,,1.88,0.99, 0.83 ,,,12.6,29.3,2.32,13.1,30,304,75,,25,,,,,
13-Jan-25,81.3,87.3,41.3,521,34.6,0.1,12.16,51.7,26.8,23,96.70,,2.57,,1.92,13.6,,,,,128,,92.2,89.3,,1.76,1.43,,0.33,,1.87,1.06, 0.86 ,,,14.3,29.4,2.06,12.1,27.4,304,75,,25,,,,,
14-Jan-25,81.7,88.4,39.8,516,33.9,0.015,12.15,50.2,25.3,27,94.69,,2.49,,1.44,14.6,,,,,128,,92.0,87.1,,1.696666667,1.38,,0.32,,1.82,1.07, 0.88 ,,,13.7,30.1,2.20,11.1,28,304,75,,25,,,,,
15-Jan-25,81.8,88.1,39.9,516,34.6,0.0,11.7,49.5,25.8,24,95.47,,2.54,,1.65,15.2,,,,,128,,92.0,87.9,,1.71,1.39,,0.32,,1.76,1.03, 0.80 ,,,12.7,27.2,2.14,14.1,29,304,75,,25,,,,,
16-Jan-25,81.6,88.0,38.6,509,33.9,0.0,13.6,47.5,23.07,28,95.07,,2.44,, 1.470 ,13.9,,,,,128,,91.97,87.4,,1.7,1.38,,0.32,,1.80,1.06, 0.86 ,,,16.4,28.1,1.71,13.1,30.1,304,75,,25,,,,,
17-Jan-25,81.9,88.5,39.8,508,35.4,0.0,12.23,49.0,25.68,24,95.87,,2.58,,1.77,17.2,,,,,128,,92.00,88.2,,1.8,1.45,,0.35,,1.89,1.05, 0.89 ,,,14.01,27.3,1.95,12.1,30.2,304,75,,25,,,,,
18-Jan-25,81.8,88.3,39.8,512,34.2,0.0,12.08,50.4,24.8,25,95.95,,2.56,,1.76,13.7,,,,,128,,92.08,88.35166667,,1.82,1.46,,0.36,,1.80,0.99, 0.85 ,,,13.2,29.1,2.20,13.5,26.2,304,75,,25,,,,,
19-Jan-25,82.1,87.1,40.0,518,35.0,0.000,12.4,53.3,25.6,27,96.70,,2.52,,1.87,13.8,,,,,128,,91.98,88.94833333,,2.14,1.71,,0.43,,1.85,0.86, 0.76 ,,,14.1,29.2,2.07,11.2,29.6,306,50,,20,30,,,,
20-Jan-25,82.3,87.8,40.8,523,34.6,0.0,11.4,50.2,25.14,23,96.87,,2.52,,1.90,14.4,,,,,128,,91.44,88.575,,2.528333333,2.026666667,,0.501666667,,1.77,0.70, 0.71 ,,,14.5,27.34,1.89,11.99,29.19,298,25.75,,24.24,50.01,,,,
21-Jan-25,81.6,89.1,40.3,513,34.4,0.0,11.1,50.4,26.18,24,94.34,,2.43,,1.33,14.9,,,,,128,,90.57,85.44833333,,2.3,1.853333333,,0.446666667,,1.70,0.74, 0.74 ,,,13.2,27.8,2.11,13.2,30.15,296,28,,22,50,,,,
22-Jan-25,81.5,86.9,38.8,519,33.3,0.000,12.4,48.2,27.15,25,95.64,,2.49,,1.65,14.9,,,,,128,,90.21,86.27666667,,2.315,1.876666667,,0.438333333,,1.63,0.71, 0.70 ,,,13.2,26.7,2.02,10.1,29.6,298,30,,20,50,,,,
23-Jan-25,82.2,86.1,39.7,534,34.7,0.0,12.41,51.5,28.65,27,94.83,,2.41,,1.41,15.6,,,,,128,,90.02,85.37,,2.35,1.89,,0.46,,1.62,0.69, 0.70 ,,,14.5,28.31,1.96,11.17,29.325,296,30,,20,50,,,,
